Date,Close
2/2/2018 ,114.28
2/5/2018 ,108.8
2/6/2018 ,112.11
2/7/2018 ,112.87
2/8/2018 ,107.88
2/9/2018 ,110.04
2/12/2018 ,111.74
2/13/2018 ,112.43
2/14/2018 ,115.03
2/15/2018 ,115.51
2/16/2018 ,114.68
2/20/2018 ,114.71
2/21/2018 ,115.19
2/22/2018 ,114.98
2/23/2018 ,117.31
2/26/2018 ,118.77
2/27/2018 ,117.36
2/28/2018 ,115.5
3/1/2018 ,113.43
3/2/2018 ,113.32
3/5/2018 ,115.06
3/6/2018 ,115.16
3/7/2018 ,114.73
3/8/2018 ,114.74
3/9/2018 ,118.04
3/12/2018 ,117.66
3/13/2018 ,116.25
3/14/2018 ,114.95
3/15/2018 ,115.24
3/16/2018 ,115.44
3/19/2018 ,114.53
3/20/2018 ,114.64
3/21/2018 ,114.74
3/22/2018 ,109.95
3/23/2018 ,107.01
3/26/2018 ,110.31
3/27/2018 ,108.17
3/28/2018 ,108
3/29/2018 ,109.97
4/2/2018 ,107.85
4/3/2018 ,109.33
4/4/2018 ,110.99
4/5/2018 ,111.88
4/6/2018 ,109.09
4/9/2018 ,110.4
4/10/2018 ,112.51
4/11/2018 ,110.62
4/12/2018 ,113.37
4/13/2018 ,110.3
4/16/2018 ,110.21
4/17/2018 ,110.21
4/18/2018 ,109.32
4/19/2018 ,111.72
4/20/2018 ,111.47
4/23/2018 ,110.93
4/24/2018 ,110.41
4/25/2018 ,109.99
4/26/2018 ,110.1
4/27/2018 ,109.4
4/30/2018 ,108.78
5/1/2018 ,108.78
5/2/2018 ,107.92
5/3/2018 ,107.24
5/4/2018 ,108.43
5/7/2018 ,109.37
5/8/2018 ,110.99
5/9/2018 ,113.41
5/10/2018 ,114.29
5/11/2018 ,113.86
5/14/2018 ,113.9
5/15/2018 ,113.03
5/16/2018 ,113.34
5/17/2018 ,112.96
5/18/2018 ,111.13
5/21/2018 ,112.15
5/22/2018 ,113.01
5/23/2018 ,112.49
5/24/2018 ,111.23
5/25/2018 ,110.66
5/29/2018 ,105.93
5/30/2018 ,108.35
5/31/2018 ,107.01
6/1/2018 ,108.4
6/4/2018 ,108.45
6/5/2018 ,107.84
6/6/2018 ,110.36
6/7/2018 ,110.8
6/8/2018 ,111.11
6/11/2018 ,110.83
6/12/2018 ,110.19
6/13/2018 ,109.97
6/14/2018 ,108.03
6/15/2018 ,107.9
6/18/2018 ,108.18
6/19/2018 ,107.55
6/20/2018 ,107.54
6/21/2018 ,107.51
6/22/2018 ,105.75
6/25/2018 ,104.79
6/26/2018 ,104.86
6/27/2018 ,103.24
6/28/2018 ,104.93
6/29/2018 ,104.2
7/2/2018 ,105.08
7/3/2018 ,103.61
7/5/2018 ,103.72
7/6/2018 ,104.06
7/9/2018 ,107.28
7/10/2018 ,106.62
7/11/2018 ,106.39
7/12/2018 ,106.85
7/13/2018 ,106.36
7/16/2018 ,110.58
7/17/2018 ,110.5
7/18/2018 ,111.53
7/19/2018 ,109.89
7/20/2018 ,111.28
7/23/2018 ,113.35
7/24/2018 ,114.15
7/25/2018 ,115.18
7/26/2018 ,114.85
7/27/2018 ,116.03
7/30/2018 ,116.73
7/31/2018 ,114.95
8/1/2018 ,115.66
8/2/2018 ,116.15
8/3/2018 ,117.09
8/6/2018 ,117.12
8/7/2018 ,117.55
8/8/2018 ,117.79
8/9/2018 ,116.88
8/10/2018 ,115.73
8/13/2018 ,113.89
8/14/2018 ,114.65
8/15/2018 ,113.7
8/16/2018 ,114.77
8/17/2018 ,114.77
8/20/2018 ,114.62
8/21/2018 ,115.32
8/22/2018 ,114.97
8/23/2018 ,114.73
8/24/2018 ,114.68
8/27/2018 ,116.71
8/28/2018 ,116.14
8/29/2018 ,115.76
8/30/2018 ,115.19
8/31/2018 ,114.58
9/4/2018 ,115.15
9/5/2018 ,114.59
9/6/2018 ,114.1
9/7/2018 ,114.32
9/10/2018 ,113.71
9/11/2018 ,114.43
9/12/2018 ,113.08
9/13/2018 ,113.52
9/14/2018 ,113.5
9/17/2018 ,113.84
9/18/2018 ,114.3
9/19/2018 ,117.62
9/20/2018 ,118.63
9/21/2018 ,117.85
9/24/2018 ,116.72
9/25/2018 ,116.39
9/26/2018 ,115.02
9/27/2018 ,114.52
9/28/2018 ,112.84
10/1/2018 ,113.5
10/2/2018 ,113.97
10/3/2018 ,115.04
10/4/2018 ,115.27
10/5/2018 ,114.62
10/8/2018 ,115.32
10/9/2018 ,114.52
10/10/2018 ,111.47
10/11/2018 ,108.13
10/12/2018 ,106.95
10/15/2018 ,106.34
10/16/2018 ,108.62
10/17/2018 ,109.83
10/18/2018 ,108.09
10/19/2018 ,107.91
10/22/2018 ,106.36
10/23/2018 ,105.25
10/24/2018 ,103.29
10/25/2018 ,104.86
10/26/2018 ,103.42
10/29/2018 ,104.85
10/30/2018 ,106.7
10/31/2018 ,109.02
11/1/2018 ,108.98
11/2/2018 ,108.38
11/5/2018 ,109.09
11/6/2018 ,109.6
11/7/2018 ,111.48
11/8/2018 ,112.38
11/9/2018 ,111.29
11/12/2018 ,108.95
11/13/2018 ,109.59
11/14/2018 ,107.33
11/15/2018 ,110.07
11/16/2018 ,109.99
11/19/2018 ,110.83
11/20/2018 ,108.45
11/21/2018 ,107.64
11/23/2018 ,106.65
11/26/2018 ,109.26
11/27/2018 ,109.72
11/28/2018 ,110.94
11/29/2018 ,110.06
11/30/2018 ,111.19
12/3/2018 ,112.24
12/4/2018 ,107.23
12/6/2018 ,105.19
12/7/2018 ,103.29
12/10/2018 ,101.36
12/11/2018 ,100.37
12/12/2018 ,101.02
12/13/2018 ,101.12
12/14/2018 ,100.29
12/17/2018 ,99.01
12/18/2018 ,98.54
12/19/2018 ,97.29
12/20/2018 ,96.45
12/21/2018 ,94.17
12/24/2018 ,92.14
12/26/2018 ,95.96
12/27/2018 ,97.04
12/28/2018 ,96.83
12/31/2018 ,97.62
1/2/2019 ,99.31
1/3/2019 ,97.11
1/4/2019 ,100.69
1/7/2019 ,100.76
1/8/2019 ,100.57
1/9/2019 ,100.4
1/10/2019 ,100.39
1/11/2019 ,99.91
1/14/2019 ,100.94
1/15/2019 ,101.68
1/16/2019 ,102.5
1/17/2019 ,102.92
1/18/2019 ,104.59
1/22/2019 ,102.94
1/23/2019 ,102.68
1/24/2019 ,102.74
1/25/2019 ,103.39
1/28/2019 ,103.88
1/29/2019 ,104.17
1/30/2019 ,104.41
1/31/2019 ,103.5
2/1/2019 ,103.88
